10000; 0.068;;10000;20000;30000;40000;50000;60000;70000;80000;90000;100000
20000; 0.282;; 0.068; 0.282; 0.614; 1.088; 1.748; 2.497; 3.390; 4.439; 5.601; 7.243
30000; 0.614;;;;;;;;;;;
40000; 1.088;;;;;;;;;;;
50000; 1.748;;;;;;;;;;;
60000; 2.497;;;;;;;;;;;
70000; 3.390;;;;;;;;;;;
80000; 4.439;;;;;;;;;;;
90000; 5.601;;;;;;;;;;;
100000; 7.243;;;;;;;;;;;
